iter	Logloss	Accuracy
0	0.6801814638	0.7613823529
1	0.6672944627	0.7731176471
2	0.6564415753	0.7723529412
3	0.6467488928	0.7706470588
4	0.6367542281	0.7748529412
5	0.6266484513	0.7777647059
6	0.6183116147	0.7727352941
7	0.6099434301	0.7765294118
8	0.6023853165	0.7761176471
9	0.5952097935	0.7755882353
10	0.5888888063	0.7755294118
11	0.5828662312	0.7755882353
12	0.5772680049	0.7754117647
13	0.5712799235	0.7741470588
14	0.5655459379	0.7746176471
15	0.5609784549	0.7745588235
16	0.5565556259	0.7761764706
17	0.5526712639	0.7762352941
18	0.5488689365	0.7763529412
19	0.545202498	0.7769705882
20	0.5420176506	0.7748529412
21	0.5386883622	0.7751176471
22	0.5348871481	0.7794411765
23	0.5309696288	0.7804411765
24	0.5272186046	0.7804411765
25	0.5244096685	0.7796470588
26	0.521854817	0.7806470588
27	0.5194793224	0.7807647059
28	0.5174049731	0.7806176471
29	0.5146401546	0.7808235294
30	0.512445743	0.7806176471
31	0.5099041091	0.7806764706
32	0.5079496147	0.7817058824
33	0.5062582783	0.7807058824
34	0.5048954885	0.7809705882
35	0.5034682148	0.7812058824
36	0.5017766632	0.7812058824
37	0.5000887161	0.7816764706
38	0.4987263307	0.7817058824
39	0.4973519208	0.7828529412
40	0.4962418095	0.7832058824
41	0.4946592894	0.7838529412
42	0.4935797116	0.7831176471
43	0.4918969586	0.7835882353
44	0.4905561318	0.7838235294
45	0.4894577272	0.7833823529
46	0.4885646851	0.7839411765
47	0.4875919882	0.7844117647
48	0.4864917638	0.7838823529
49	0.4853937608	0.7837941176
50	0.4846124273	0.7838529412
51	0.4837161834	0.7835294118
52	0.4829584901	0.7841470588
53	0.4823986371	0.7846176471
54	0.481785194	0.7843529412
55	0.4807642636	0.7849705882
56	0.4802650518	0.7846176471
57	0.4795380388	0.7846764706
58	0.4788759541	0.7849411765
59	0.4783944112	0.7848235294
60	0.4776084985	0.7851470588
61	0.4767678208	0.7850882353
62	0.4762159647	0.7855294118
63	0.4755321951	0.7851764706
64	0.4750232214	0.7854117647
65	0.474478606	0.7852941176
66	0.4736756088	0.7852941176
67	0.4732258317	0.7854411765
68	0.4726280957	0.7850588235
69	0.472165895	0.7854411765
70	0.4716704973	0.7854117647
71	0.4712958073	0.7854705882
72	0.4708916365	0.7858823529
73	0.4705730364	0.7856470588
74	0.4701021899	0.7855882353
75	0.4697368386	0.7857941176
76	0.4694075062	0.7862647059
77	0.4690796971	0.7861470588
78	0.4686483453	0.7860588235
79	0.4683535107	0.7862058824
80	0.4679646361	0.7860588235
81	0.4676739298	0.7861764706
82	0.4673707393	0.7861470588
83	0.4669833259	0.7866764706
84	0.4665315249	0.7865588235
85	0.466392354	0.7864411765
86	0.4661080671	0.7865588235
87	0.4657080821	0.7867058824
88	0.4654414061	0.7868235294
89	0.4652259759	0.7869411765
90	0.4649592563	0.7871470588
91	0.4647479354	0.7871176471
92	0.464541274	0.787
93	0.4642154466	0.7873529412
94	0.4640188082	0.7872352941
95	0.4637141164	0.7873823529
96	0.463524548	0.7876176471
97	0.4633178859	0.7876764706
98	0.4631288619	0.7876176471
99	0.4629663127	0.7876176471
100	0.462817489	0.7874117647
101	0.4625193171	0.7875882353
102	0.4622779673	0.7875588235
103	0.4619269457	0.7876176471
104	0.4617400624	0.7874117647
105	0.4615807908	0.7874117647
106	0.4614354107	0.7875
107	0.461220832	0.7877058824
108	0.4610399708	0.7877058824
109	0.4608785624	0.7877058824
110	0.4606810155	0.7879411765
111	0.4604971066	0.7880294118
112	0.4602443399	0.7880882353
113	0.4601267508	0.7880588235
114	0.4599733545	0.7882647059
115	0.4598643769	0.7883235294
116	0.45980405	0.7883823529
117	0.4596787308	0.7885294118
118	0.4595170603	0.7886470588
119	0.4593270336	0.7883529412
120	0.4591576784	0.7885882353
121	0.4590721025	0.7884117647
122	0.4589202583	0.7886176471
123	0.4587647706	0.7886764706
124	0.4586475481	0.7885882353
125	0.4585344327	0.7888529412
126	0.4583895857	0.7888235294
127	0.458246897	0.7889411765
128	0.4580629161	0.7887352941
129	0.4580358906	0.7888823529
130	0.4578991419	0.7891176471
131	0.4577603881	0.7892058824
132	0.4576339842	0.7892058824
133	0.4574748684	0.7893529412
134	0.4574112138	0.7893529412
135	0.4573425048	0.7892941176
136	0.4572567274	0.7893823529
137	0.4571551646	0.7896176471
138	0.4570561084	0.7897941176
139	0.4569427532	0.7897941176
140	0.4568352292	0.7898529412
141	0.4567319644	0.7897647059
142	0.4566108316	0.7896176471
143	0.4565287985	0.7896176471
144	0.4565052502	0.7897352941
145	0.4563804581	0.7898529412
146	0.4562471622	0.7899117647
147	0.4560684425	0.7901764706
148	0.4559722789	0.7902058824
149	0.4558377472	0.7900294118
150	0.4557353852	0.7902058824
151	0.4553611044	0.7900588235
152	0.4552897643	0.7900294118
153	0.455185217	0.7899411765
154	0.4551080072	0.7902058824
155	0.4549606229	0.79
156	0.4547509051	0.7902647059
157	0.454684655	0.7902647059
158	0.4544800149	0.7903529412
159	0.4544321599	0.7903823529
160	0.4542619561	0.7903235294
161	0.4541339182	0.7902647059
162	0.4540211958	0.7902647059
163	0.4539399972	0.7901764706
164	0.4538512138	0.7902058824
165	0.4535916796	0.7902941176
166	0.4533727923	0.7903823529
167	0.4532841172	0.7905588235
168	0.4532408638	0.7904411765
169	0.4531677097	0.7905
170	0.4530363979	0.7904705882
171	0.4528886833	0.7906470588
172	0.4527991811	0.7907941176
173	0.4526390898	0.7907352941
174	0.4525786862	0.7908529412
175	0.4525386994	0.7907647059
176	0.4524471476	0.7906764706
177	0.4524000201	0.7906764706
178	0.452299556	0.7908529412
179	0.4522237169	0.7905294118
180	0.4521353733	0.7904705882
181	0.4520729431	0.7905294118
182	0.4519356519	0.7906764706
183	0.4518517123	0.7905588235
184	0.4516109368	0.7905
185	0.4515173469	0.7904411765
186	0.451423715	0.7906176471
187	0.4514202143	0.7906470588
188	0.4513538545	0.7905882353
189	0.4512826114	0.7905588235
190	0.4511714169	0.7909117647
191	0.4510901351	0.7911470588
192	0.4510230266	0.7911470588
193	0.4509305457	0.7910882353
194	0.4508682723	0.7911176471
195	0.4508099128	0.7911176471
196	0.4507707095	0.7912647059
197	0.4507260173	0.7913823529
198	0.4506530699	0.7912352941
199	0.450582935	0.7914117647
200	0.4504511501	0.7915
201	0.4503689819	0.7914117647
202	0.450319094	0.7914705882
203	0.4501874788	0.7915882353
204	0.4501212719	0.7914705882
205	0.450109924	0.7915882353
206	0.4500408765	0.7914411765
207	0.449894548	0.7915
208	0.4498493925	0.7914705882
209	0.4497983138	0.7915588235
210	0.4497406683	0.7916176471
211	0.4496337845	0.7916470588
212	0.4495372296	0.7921470588
213	0.4494418544	0.7921764706
214	0.4493969816	0.7921176471
215	0.4493144653	0.7924117647
216	0.4492089977	0.7923529412
217	0.4491238215	0.7923235294
218	0.4489887679	0.7923235294
219	0.4489354601	0.7924411765
220	0.4488873764	0.7926470588
221	0.4488772946	0.7927647059
222	0.4487778831	0.7928235294
223	0.4487428295	0.7927941176
224	0.4486599296	0.7927647059
225	0.448453295	0.7927941176
226	0.4483876159	0.7927941176
227	0.4482999959	0.7927352941
228	0.4481887329	0.7929411765
229	0.4480494435	0.7927352941
230	0.4479696913	0.7929411765
231	0.4478708212	0.7928823529
232	0.4477973104	0.7927941176
